iter	Passed	Remaining
0	425	424630
1	426	212872
2	427	142151
3	428	106761
4	429	85538
5	430	71388
6	432	61318
7	433	53731
8	434	47824
9	435	43097
10	436	39229
11	438	36128
12	440	33408
13	441	31075
14	442	29052
15	443	27293
16	444	25729
17	446	24346
18	447	23105
19	448	21981
20	458	21382
21	459	20445
22	460	19578
23	461	18784
24	463	18057
25	464	17384
26	465	16767
27	466	16187
28	467	15646
29	468	15144
30	469	14673
31	473	14327
32	475	13930
33	476	13536
34	477	13163
35	478	12812
36	479	12481
37	480	12166
38	481	11867
39	482	11584
40	483	11315
41	485	11083
42	487	10839
43	488	10602
44	508	10786
45	509	10564
46	510	10355
47	518	10283
48	521	10117
49	522	9929
50	523	9742
51	524	9563
52	525	9395
53	529	9284
54	531	9136
55	532	8984
56	533	8833
57	534	8688
58	535	8547
59	536	8411
60	537	8280
61	538	8154
62	539	8030
63	543	7950
64	545	7839
65	546	7728
66	547	7619
67	561	7696
68	562	7594
69	563	7492
70	565	7396
71	566	7298
72	567	7203
73	568	7111
74	569	7021
75	570	6932
76	574	6881
77	575	6805
78	576	6725
79	580	6676
80	581	6598
81	582	6523
82	583	6450
83	585	6385
84	586	6313
85	587	6247
86	588	6175
87	589	6109
88	590	6044
89	591	5980
90	592	5917
91	593	5856
92	594	5796
93	607	5857
94	608	5799
95	609	5741
96	610	5685
97	611	5630
98	612	5576
99	614	5532
100	615	5482
101	616	5427
102	617	5378
103	618	5329
104	619	5281
105	620	5234
106	621	5188
107	622	5143
108	623	5098
109	624	5055
110	630	5053
111	632	5014
112	633	4974
113	635	4937
114	636	4900
115	637	4859
116	639	4823
117	646	4833
118	670	4966
119	671	4927
120	675	4907
121	677	4872
122	677	4831
123	678	4794
124	679	4757
125	680	4721
126	681	4685
127	682	4647
128	683	4613
129	685	4587
130	686	4554
131	690	4543
132	692	4511
133	693	4479
134	694	4447
135	695	4416
136	696	4385
137	696	4353
138	697	4323
139	698	4293
140	700	4264
141	701	4235
142	705	4230
143	707	4203
144	716	4223
145	722	4226
146	723	4199
147	724	4171
148	725	4144
149	729	4132
150	730	4107
151	731	4081
152	732	4055
153	737	4049
154	738	4024
155	739	3998
156	740	3974
157	741	3949
158	742	3925
159	743	3902
160	744	3879
161	747	3865
162	751	3857
163	752	3835
164	753	3813
165	754	3790
166	755	3768
167	756	3746
168	757	3724
169	758	3704
170	760	3685
171	761	3665
172	762	3645
173	763	3624
174	764	3604
175	765	3584
176	766	3564
177	768	3547
178	769	3528
179	770	3509
180	770	3487
181	771	3468
182	772	3449
183	773	3430
184	774	3413
185	775	3395
186	776	3376
187	777	3358
188	781	3355
189	784	3342
190	785	3325
191	786	3308
192	787	3291
193	788	3274
194	789	3257
195	809	3318
196	812	3313
197	814	3297
198	815	3281
199	816	3265
200	817	3249
201	818	3232
202	819	3216
203	820	3200
204	822	3189
205	824	3177
206	826	3166
207	827	3151
208	828	3136
209	829	3121
210	830	3106
211	831	3091
212	832	3076
213	833	3062
214	837	3056
215	838	3044
216	839	3030
217	840	3015
218	841	3001
219	842	2987
220	857	3023
221	858	3010
222	859	2996
223	860	2982
224	861	2968
225	862	2955
226	863	2941
227	864	2928
228	869	2926
229	870	2915
230	871	2901
231	872	2888
232	873	2875
233	874	2863
234	875	2850
235	876	2837
236	877	2825
237	878	2813
238	879	2801
239	881	2791
240	882	2778
241	883	2766
242	884	2754
243	885	2742
244	886	2731
245	887	2719
246	888	2707
247	889	2696
248	890	2685
249	893	2681
250	895	2672
251	896	2661
252	897	2650
253	898	2639
254	899	2628
255	900	2617
256	901	2607
257	903	2599
258	907	2596
259	910	2592
260	912	2582
261	913	2573
262	915	2564
263	916	2553
264	917	2543
265	918	2533
266	922	2531
267	923	2522
268	924	2512
269	925	2502
270	926	2492
271	941	2520
272	942	2510
273	943	2500
274	944	2490
275	945	2480
276	946	2471
277	954	2479
278	956	2470
279	957	2461
280	958	2451
281	959	2442
282	960	2432
283	961	2423
284	962	2414
285	963	2406
286	964	2397
287	969	2398
288	971	2389
289	972	2380
290	973	2371
291	974	2362
292	975	2353
293	976	2344
294	977	2335
295	978	2326
296	979	2317
297	980	2309
298	981	2301
299	982	2293
300	984	2285
301	985	2276
302	988	2274
303	990	2267
304	991	2259
305	992	2250
306	993	2242
307	994	2234
308	995	2226
309	998	2221
310	999	2213
311	1002	2210
312	1004	2205
313	1005	2197
314	1006	2189
315	1007	2181
316	1008	2173
317	1009	2165
318	1011	2158
319	1011	2150
320	1012	2142
321	1013	2134
322	1025	2150
323	1026	2142
324	1027	2134
325	1028	2127
326	1029	2119
327	1034	2119
328	1036	2113
329	1037	2105
330	1038	2098
331	1040	2093
332	1043	2089
333	1050	2093
334	1051	2087
335	1052	2080
336	1053	2072
337	1054	2065
338	1055	2058
339	1056	2051
340	1057	2044
341	1058	2037
342	1059	2030
343	1073	2046
344	1074	2040
345	1075	2033
346	1081	2034
347	1082	2027
348	1083	2020
349	1086	2017
350	1088	2012
351	1089	2006
352	1090	1999
353	1093	1994
354	1094	1987
355	1095	1981
356	1096	1974
357	1097	1967
358	1098	1960
359	1099	1954
360	1100	1947
361	1101	1940
362	1102	1934
363	1103	1928
364	1108	1928
365	1109	1922
366	1110	1916
367	1127	1936
368	1128	1930
369	1129	1923
370	1130	1917
371	1131	1910
372	1132	1904
373	1133	1897
374	1134	1891
375	1138	1889
376	1140	1884
377	1141	1878
378	1142	1871
379	1143	1865
380	1144	1859
381	1145	1852
382	1149	1851
383	1155	1853
384	1159	1852
385	1163	1850
386	1164	1844
387	1167	1841
388	1168	1835
389	1169	1829
390	1170	1822
391	1187	1841
392	1188	1835
393	1189	1829
394	1190	1823
395	1191	1816
396	1192	1810
397	1194	1806
398	1195	1801
399	1197	1795
400	1198	1790
401	1199	1784
402	1201	1779
403	1202	1773
404	1203	1767
405	1204	1762
406	1205	1756
407	1206	1751
408	1207	1745
409	1208	1739
410	1209	1733
411	1210	1728
412	1211	1722
413	1213	1717
414	1214	1711
415	1215	1705
416	1216	1700
417	1217	1694
418	1218	1689
419	1219	1683
420	1220	1677
421	1221	1672
422	1232	1681
423	1233	1676
424	1234	1670
425	1235	1665
426	1236	1659
427	1237	1654
428	1238	1648
429	1239	1643
430	1240	1638
431	1241	1632
432	1243	1627
433	1243	1622
434	1244	1617
435	1245	1611
436	1246	1606
437	1247	1601
438	1248	1595
439	1250	1591
440	1251	1586
441	1252	1581
442	1253	1576
443	1254	1571
444	1256	1566
445	1257	1561
446	1258	1556
447	1259	1551
448	1260	1546
449	1271	1554
450	1272	1549
451	1273	1544
452	1274	1539
453	1275	1534
454	1276	1529
455	1277	1524
456	1278	1519
457	1279	1514
458	1280	1509
459	1281	1504
460	1282	1499
461	1283	1494
462	1284	1490
463	1285	1485
464	1286	1480
465	1287	1475
466	1288	1470
467	1289	1466
468	1290	1461
469	1291	1456
470	1292	1451
471	1293	1447
472	1294	1442
473	1295	1437
474	1296	1432
475	1297	1428
476	1298	1423
477	1306	1427
478	1308	1422
479	1309	1418
480	1310	1413
481	1311	1409
482	1312	1405
483	1313	1400
484	1314	1396
485	1315	1391
486	1317	1387
487	1318	1382
488	1319	1378
489	1320	1374
490	1321	1369
491	1328	1371
492	1329	1367
493	1330	1362
494	1332	1359
495	1334	1355
496	1335	1351
497	1336	1346
498	1337	1342
499	1338	1338
500	1341	1336
501	1343	1332
502	1344	1328
503	1346	1325
504	1350	1323
505	1351	1319
506	1352	1315
507	1353	1310
508	1356	1308
509	1357	1304
510	1358	1299
511	1359	1295
512	1361	1292
513	1362	1288
514	1364	1284
515	1373	1288
516	1375	1284
517	1376	1280
518	1377	1276
519	1378	1272
520	1379	1267
521	1380	1263
522	1381	1259
523	1382	1255
524	1383	1251
525	1384	1247
526	1385	1243
527	1388	1241
528	1392	1239
529	1393	1235
530	1404	1240
531	1405	1236
532	1406	1232
533	1408	1228
534	1409	1224
535	1410	1220
536	1411	1216
537	1412	1212
538	1413	1208
539	1414	1204
540	1415	1201
541	1416	1197
542	1417	1193
543	1418	1189
544	1420	1185
545	1421	1181
546	1422	1177
547	1423	1173
548	1424	1170
549	1425	1166
550	1426	1162
551	1427	1158
552	1429	1155
553	1430	1151
554	1431	1147
555	1432	1143
556	1433	1139
557	1433	1135
558	1445	1140
559	1446	1136
560	1447	1132
561	1448	1128
562	1449	1125
563	1450	1121
564	1451	1117
565	1452	1113
566	1453	1109
567	1454	1106
568	1455	1102
