iter	Passed	Remaining
0	1	1673
1	2	1342
2	3	1189
3	4	1138
4	5	1087
5	6	1080
6	7	1052
7	10	1361
8	12	1421
9	13	1373
10	14	1327
11	15	1299
12	16	1265
13	17	1236
14	18	1221
15	19	1207
16	20	1189
17	21	1169
18	24	1270
19	26	1308
20	28	1322
21	29	1310
22	30	1302
23	31	1297
24	33	1320
25	34	1310
26	64	2337
27	66	2296
28	67	2252
29	68	2211
30	72	2276
31	74	2243
32	75	2206
33	79	2255
34	80	2219
35	81	2185
36	82	2151
37	84	2126
38	88	2170
39	89	2140
40	90	2125
41	92	2111
42	93	2086
43	94	2060
44	95	2035
45	97	2017
46	98	1997
47	103	2043
48	104	2035
49	106	2017
50	107	1996
51	108	1978
52	109	1958
53	110	1941
54	112	1938
55	113	1921
56	119	1975
57	120	1960
58	121	1942
59	122	1924
60	123	1907
61	125	1895
62	126	1882
63	127	1866
64	133	1921
65	134	1910
66	136	1894
67	137	1879
68	138	1866
69	140	1868
70	141	1854
71	142	1840
72	148	1889
73	150	1879
74	151	1865
75	152	1853
76	154	1855
77	156	1845
78	157	1834
79	158	1822
80	162	1846
81	164	1843
82	165	1824
83	166	1816
84	169	1820
85	170	1812
86	171	1803
87	173	1793
88	181	1860
89	202	2043
90	203	2030
91	230	2278
92	234	2291
93	271	2618
94	382	3641
95	383	3611
96	384	3580
97	385	3550
98	386	3520
99	388	3496
100	390	3473
101	391	3446
102	392	3419
103	393	3392
104	395	3367
105	396	3344
106	398	3326
107	400	3304
108	401	3285
109	404	3273
110	406	3252
111	407	3231
112	409	3214
113	425	3304
114	426	3281
115	427	3259
116	428	3234
117	430	3214
118	431	3194
119	436	3200
120	438	3185
121	439	3162
122	440	3141
123	441	3120
124	442	3099
125	443	3078
126	444	3056
127	446	3042
128	450	3039
129	451	3022
130	454	3012
131	455	2993
132	456	2974
133	457	2955
134	458	2937
135	460	2924
136	461	2906
137	750	4685
138	751	4653
139	752	4622
140	754	4595
141	755	4561
142	756	4531
143	757	4503
144	759	4477
145	760	4451
146	762	4423
147	764	4398
148	765	4374
149	767	4347
150	768	4319
151	769	4294
152	771	4272
153	774	4252
154	778	4241
155	779	4216
156	780	4191
157	781	4166
158	868	4593
159	869	4564
160	870	4534
161	871	4507
162	873	4484
163	874	4457
164	875	4431
165	877	4406
166	878	4383
167	880	4359
168	881	4336
169	883	4314
170	885	4290
171	886	4266
172	887	4244
173	890	4227
174	892	4205
175	893	4184
176	895	4162
177	896	4141
178	898	4121
179	899	4099
180	901	4077
181	902	4055
182	904	4039
183	907	4024
184	908	4003
185	914	4002
186	922	4009
187	923	3990
188	925	3969
189	937	3995
190	938	3975
191	970	4084
192	977	4088
193	981	4075
194	982	4055
195	983	4034
196	985	4015
197	987	3999
198	998	4018
199	1000	4000
200	1145	4553
201	1146	4530
202	1148	4508
203	1150	4487
204	1151	4464
205	1152	4441
206	1153	4418
207	1154	4396
208	1160	4393
209	1162	4371
210	1166	4361
211	1167	4341
212	1189	4396
213	1191	4375
214	1192	4354
215	1194	4334
216	1195	4314
217	1197	4295
218	1200	4280
219	1209	4286
220	1210	4265
221	1211	4243
222	1211	4222
223	1212	4202
224	1213	4181
225	1214	4160
226	1215	4139
227	1221	4135
228	1222	4115
229	1223	4095
230	1224	4075
231	1225	4055
232	1226	4035
233	1226	4016
234	1227	3997
235	1228	3977
236	1229	3958
237	1230	3939
238	1235	3933
239	1236	3916
240	1237	3897
241	1238	3879
242	1239	3861
243	1240	3844
244	1241	3826
245	1242	3808
246	1243	3790
247	1244	3773
248	1245	3756
249	1250	3752
250	1252	3736
251	1253	3719
252	1254	3703
253	1256	3688
254	1257	3672
255	1258	3656
256	1259	3640
257	1268	3648
258	1270	3634
259	1271	3618
260	1272	3602
261	1273	3587
262	1275	3573
263	1277	3560
264	1281	3555
265	1282	3540
266	1284	3525
267	1285	3510
268	1286	3495
269	1287	3480
270	1288	3467
271	1290	3455
272	1295	3450
273	1297	3436
274	1298	3422
275	1299	3408
276	1300	3394
277	1301	3381
278	1314	3396
279	1315	3382
280	1316	3368
281	1317	3355
282	1320	3346
283	1321	3332
284	1323	3319
285	1368	3416
286	1387	3446
287	1388	3433
288	1399	3442
289	1400	3428
290	1401	3415
291	1403	3402
292	1416	3416
293	1419	3409
294	1452	3471
295	1464	3483
296	1466	3472
297	1468	3458
298	1469	3445
299	1482	3458
300	1483	3445
301	1485	3434
302	1496	3442
303	1500	3436
304	1502	3423
305	1509	3422
306	1517	3424
307	1518	3411
308	1525	3411
309	1526	3398
310	1527	3384
311	1528	3371
312	1530	3358
313	1531	3345
314	1532	3332
315	1533	3319
316	1539	3317
317	1540	3304
318	1544	3298
319	1546	3285
320	1547	3273
321	1548	3260
322	1553	3256
323	1557	3250
324	1559	3238
325	1560	3226
326	1561	3213
327	1573	3224
328	1575	3213
329	1576	3200
330	1577	3188
331	1579	3178
332	1585	3175
333	1587	3166
334	1588	3154
335	1590	3142
336	1591	3130
337	1592	3119
338	1593	3107
339	1604	3114
340	1605	3103
